伝票ID,お客さまコード,〒,住所,住所3,お客様名,伝票No,受注日,売上伝票,運送便,配送日,到着予定日,商品CD,商品名,規格,入数,数量,単価,金額,備考,メモ,項目1,項目2,項目3,項目4,項目5,伝票種類
99141030001,7000554,6580033,兵庫県 神戸市東灘区,向洋町西2丁目1,㈱日本アクセス　神戸,99141030001,2014/10/30,,,2014/10/30,2014/11/01,PT300,華味鳥骨なしﾋﾟﾘ辛チキン300ｇ,kikkaku,5,5,300,7500,,,,,,,,3つ折
99141030002,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030002,2014/10/30,,,2014/10/30,2014/10/31,00002344,博多華味鳥 水たきスープ600gN,kikkaku,,30,240,7200,,,,,,,,3つ折
99141030002,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030002,2014/10/30,,,2014/10/30,2014/10/31,00002345,博多華味鳥 寄せ鍋スープ600gN,kikkaku,,20,240,4800,,,,,,,,3つ折
99141030002,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030002,2014/10/30,,,2014/10/30,2014/10/31,00002347,博多華味鳥 もつ鍋スープ600gN,kikkaku,,30,240,7200,,,,,,,,3つ折
99141030002,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030002,2014/10/30,,,2014/10/30,2014/10/31,00002346,博多華味鳥 キムチ鍋スープ600gN,kikkaku,,20,240,4800,,,,,,,,3つ折
99141030002,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030002,2014/10/30,,,2014/10/30,2014/10/31,00002348,博多華味鳥 しょうが鍋スープ600gN,kikkaku,,20,240,4800,,,,,,,,3つ折
99141030003,7000502,1030027,東京都 中央区,日本橋1-1-1　8階,国分㈱東京支社販売業,99141030003,2014/10/30,,,2014/10/30,2014/10/31,201007,華味鳥寄せ鍋スープ　400ｇ,kikkaku,20,6,168,20160,,,,,,,,3つ折
99141030003,7000502,1030027,東京都 中央区,日本橋1-1-1　8階,国分㈱東京支社販売業,99141030003,2014/10/30,,,2014/10/30,2014/10/31,201008,華味鳥キムチ鍋スープ　400ｇ,kikkaku,20,6,168,20160,,,,,,,,3つ折
99141030003,7000502,1030027,東京都 中央区,日本橋1-1-1　8階,国分㈱東京支社販売業,99141030003,2014/10/30,,,2014/10/30,2014/10/31,00002195,華味鳥水たきスープ　400ｇ,kikkaku,20,4,168,13440,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,00002344,博多華味鳥 水たきスープ600gN,kikkaku,10,3,240,7200,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,00002345,博多華味鳥 寄せ鍋スープ600gN,kikkaku,10,2,240,4800,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,00002346,博多華味鳥 キムチ鍋スープ600gN,kikkaku,10,2,240,4800,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,00002347,博多華味鳥 もつ鍋スープ600gN,kikkaku,10,3,240,7200,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,00002195,華味鳥水たきスープ　400ｇ,kikkaku,10,1,168,1680,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,201007,華味鳥寄せ鍋スープ　400ｇ,kikkaku,10,2,168,3360,,,,,,,,3つ折
99141030004,7000042,1048277,東京都 中央区,八重洲2丁目7番2号八重洲三井ビルディング7階,三井食品㈱食品営業部,99141030004,2014/10/30,,,2014/10/30,2014/11/01,P-01A,博多ぽん酢360ml,kikkaku,10,2,288,5760,,,,,,,,3つ折
99141030005,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030005,2014/10/30,,,2014/10/30,2014/10/31,00002344,博多華味鳥 水たきスープ600gN,kikkaku,10,5,240,12000,,,,,,,,3つ折
99141030005,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030005,2014/10/30,,,2014/10/30,2014/10/31,00002346,博多華味鳥 キムチ鍋スープ600gN,kikkaku,10,10,240,24000,,,,,,,,3つ折
99141030006,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030006,2014/10/30,,,2014/10/30,2014/10/31,P-01A,博多ぽん酢360ml,kikkaku,10,4,288,11520,,,,,,,,3つ折
99141030007,7000420,4620041,愛知県 名古屋市北区,浪打町2-35,国分㈱中部支社,99141030007,2014/10/30,,,2014/10/30,2014/10/31,NW77,華味鳥もつ鍋スープ　600ｇ,kikkaku,10,10,240,24000,,,,,,,,3つ折
99141030008,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030008,2014/10/30,,,2014/10/31,2014/11/01,NW77,華味鳥もつ鍋スープ　600ｇ,kikkaku,10,10,240,24000,,,,,,,,3つ折
99141030008,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030008,2014/10/30,,,2014/10/31,2014/11/01,00002344,博多華味鳥 水たきスープ600gN,kikkaku,10,10,240,24000,,,,,,,,3つ折
99141030010,7000195,1110035,東京都 台東区,西浅草1-4-2,㈱萬藤,99141030010,2014/10/30,,,2014/10/30,2014/10/31,00002344,博多華味鳥 水たきスープ600gN,kikkaku,10,10,240,24000,,,,,,,,3つ折
27141030001,7000054,6512228,兵庫県 神戸市西区,見津が丘3丁目9番1号,関西フローズン㈱神戸,27141030001,2014/10/30,,,2014/10/30,2014/10/31,10000612,ON365華味鳥竜田揚270g,kikkaku,30,5,194,29100,,,,,,,,3つ折
99141030012,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030012,2014/10/30,佐賀,,,,TORIMESHI01,博多華味鳥　かしわ飯の素２合,kikkaku,10,10,408,40800,,,,,,,,3つ折
99141030013,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030013,2014/10/30,佐賀,,2014/10/31,2014/10/31,TORIMESHI01,博多華味鳥　かしわ飯の素２合,kikkaku,10,5,408,20400,,,,,,,,3つ折
99141030014,7000539,8120002,福岡県 福岡市博多区,空港前1-2-8,国分㈱九州支社,99141030014,2014/10/30,佐賀,,2014/11/01,2014/11/01,TORIMESHI01,博多華味鳥　かしわ飯の素２合,kikkaku,10,5,408,20400,,,,,,,,3つ折
10141031010,7000442,7300021,広島県 広島市中区,胡町5-11,広島三越ADO,10141031010,2014/10/31,,,2014/11/04,2014/11/08,00301023,博多華味鳥　水たきセット(HS905),kikkaku,1,1,2500,2500,,,,,,,,3つ折
