"伝票ID","お客さまコード","〒","住所","住所3","お客様名","納品予定日","運送会社","コメント","商品CD","商品名","規格","入数","数量","備考","メモ","項目1","項目2","項目3","項目4","項目5"
"11141030001","7000399","7330833","広島県 広島市西区","商工センター5丁目14番9号","三菱食品㈱中四国支社","","","","10000008","鶏だんご(ボイル）","３入/cs","10","10","","","2014/10/30","20時~21時","","",""
"11141030002","9999","test","a1 a12","","Torizen","","","","TAKANA-JHAKO","めんたい高菜（常温）１８０ｇ","６入/cs","","60","","","2014/10/30","20時~21時","","",""
"11141030002","9999","test","a1 a12","","Torizen","","","","TARE01","もつ焼きのタレ50ｇ","６入/cs","50","58","","","2014/10/30","20時~21時","","",""
"11141030003","9999","test","a1 a12","","Torizen","","","","TARE01","もつ焼きのタレ50ｇ","６入/cs","50","50","","","2014/10/30","20時~21時","","",""
"11141030003","9999","test","a1 a12","","Torizen","","","","TAKANA-JHAKO","めんたい高菜（常温）１８０ｇ","６入/cs","","60","","","2014/10/30","20時~21時","","",""
"11141030004","9999","test","a1 a12","","Torizen","","","","TARE01","もつ焼きのタレ50ｇ","６入/cs","50","8","","","2014/10/30","20時~21時","","",""
"11141030006","7000447","8420102","佐賀県 神埼郡吉野ヶ里町","石動2534番地1","梅の花　神埼物流センター","","","","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","１入/cs","10","10","","","2014/10/30","","","",""
"11141030007","7000447","8420102","佐賀県 神埼郡吉野ヶ里町","石動2534番地1","梅の花　神埼物流センター","2014/10/31","","","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","１入/cs","10","5","","","2014/10/30","20時~21時","","",""
"11141030008","7000447","8420102","佐賀県 神埼郡吉野ヶ里町","石動2534番地1","梅の花　神埼物流センター","","","","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","１入/cs","10","5","","","2014/10/30","","","",""
"99141030003","7000502","1030027","東京都 中央区","日本橋1-1-1　8階","国分㈱東京支社販売業","2014/10/31","","","00002195","華味鳥水たきスープ　400ｇ","２０入/cs","20","4","","","2014/10/30","午前","","",""
"99141030003","7000502","1030027","東京都 中央区","日本橋1-1-1　8階","国分㈱東京支社販売業","2014/10/31","","","201008","華味鳥キムチ鍋スープ　400ｇ","２０入/cs","20","6","","","2014/10/30","午前","","",""
"99141030003","7000502","1030027","東京都 中央区","日本橋1-1-1　8階","国分㈱東京支社販売業","2014/10/31","","","201007","華味鳥寄せ鍋スープ　400ｇ","２０入/cs","20","6","","","2014/10/30","午前","","",""
