"CSV Hader","伝票管理番号","業者名","業者担当","伝票ID","受注日","出荷日","納品先CD","納品先","商品CD","商品名","規格","運送数量","運送会社CD","運送会社","御社商品ｺｰﾄﾞ","備考","摘要","項目1","項目2","項目3","項目4","項目5"
"","11141030001","トリアンフーズ","","100162","2014/10/30","","","","10000008","鶏だんご(ボイル）","10","10 個","","トリアンフーズ","D3-B3019","","","","","","",""
"","11141030002","ヤマト","","100163","2014/10/30","","","","TAKANA-JHAKO","めんたい高菜（常温）１８０ｇ","","60 個  ","","ヤマト","","","","","","","",""
"","11141030002","ヤマト","","100163","2014/10/30","","","","TARE01","もつ焼きのタレ50ｇ","50","58 個","","ヤマト","","","","","","","",""
"","11141030003","ヤマト","","100164","2014/10/30","","","","TARE01","もつ焼きのタレ50ｇ","50","50 個","","ヤマト","","","","","","","",""
"","11141030003","ヤマト","","100164","2014/10/30","","","","TAKANA-JHAKO","めんたい高菜（常温）１８０ｇ","","60 個  ","","ヤマト","","","","","","","",""
"","11141030004","ヤマト","","100165","2014/10/30","","","","TARE01","もつ焼きのタレ50ｇ","50","8 個","","ヤマト","","","","","","","",""
"","11141030006","トリアンフーズ","","100170","2014/10/30","","","","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","10","10 袋","","トリアンフーズ","D3-B0878","","","","","","",""
"","11141030007","トリアンフーズ","","100171","2014/10/30","2014/10/31","1003","㈲エビアン","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","10","5 袋","","トリアンフーズ","D3-B0878","","","","","","",""
"","11141030008","トリアンフーズ","","100172","2014/10/30","","1005","天川ツヤ子","00008018","絞り豆腐と華味鳥のメンチカツ(20g)","10","5 袋","","トリアンフーズ","D3-B0878","","","","","","",""
"","99141030003","福山通運","","100182","2014/10/30","2014/10/30","1116","国分㈱　川﨑首都圏デパートセンター","00002195","華味鳥水たきスープ　400ｇ","20","4 ","","福山通運","D3-B0005","","","","","","",""
"","99141030003","福山通運","","100182","2014/10/30","2014/10/30","1116","国分㈱　川﨑首都圏デパートセンター","201008","華味鳥キムチ鍋スープ　400ｇ","20","6 ","","福山通運","D3-B0007","","","","","","",""
"","99141030003","福山通運","","100182","2014/10/30","2014/10/30","1116","国分㈱　川﨑首都圏デパートセンター","201007","華味鳥寄せ鍋スープ　400ｇ","20","6 ","","福山通運","D3-B0006","","","","","","",""
"","11141030005","","","100167","2014/10/30","","","","TARE01","もつ焼きのタレ50ｇ","10","10 ","","","","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","CURRY07","博多華味鳥 粗挽きキーマカレー(30入)","1","1 ","","","D3-B1427","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","P-008","ﾎﾟﾝ酢150ml","1","1 ","","","D3-B1401","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","TAKANA-JHAKO","めんたい高菜（常温）１８０ｇ","1","1 ","","","D3-B1414","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","TORIMESHI01","博多華味鳥　かしわ飯の素２合","1","1 ","","","D3-B1413","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","00301006","博多華味鳥　水たきセット(HS-45)","1","1 ｾｯﾄ ","","","D3-B0879","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","00302000","博多華味鳥　もつ鍋セット(HM-211)","1","1 ｾｯﾄ ","","","D3-B0880","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","00305002","博多華味鳥　串揚げセット(KA-40)","1","1 ｾｯﾄ ","","","D3-B0881","","","","","","",""
"","10141031002","","","100211","2014/10/31","2014/11/04","","","00309020","ＨＡＮＡＭＩＤＯＲＩ　塩ﾌﾟﾘﾝ(HD-6SP)","1","1 ","","","D3-B0882","","","","","","",""
"","99141030009","","","100191","2014/10/30","2014/10/31","3428","サミットネットスーパー江古田エリアショッ","00002347","博多華味鳥 もつ鍋スープ600gN","20","20 ","","","D3-B0456","","","","","","",""
"","99141030011","福山通運","","100193","2014/10/30","2014/10/30","2126","首都圏国分㈱神奈川流通センター","P-01A","博多ぽん酢360ml","10","5 ","","福山通運","D3-B0008","","","","","","",""
"","27141030002","福岡運輸","","100196","2014/10/30","2014/10/30","","ニチレイ小倉低温DC","00006559","博多華味鳥　鶏そぼろ500g","20","5 ﾊﾟｯｸ","","福岡運輸","D3-B2018","","","","","","",""
